the_geom,Neighborhood Name,single_parent_households,per_capital_income,median_household_income,children_living_in_households,households_without_full_time,families_below_200_fpl,children_ages_0_17_below,households_receiving_calfresh,households_with_gross_rent
"MULTIPOLYGON (((-121.986989054038 37.388541984291, -121.986989054937 37.388452984657, -121.987113054785 37.388484984682, -121.988743055055 37.388934984924, -121.991293055041 37.38968498432, -121.992783055569 37.39013498521, -121.993553055498 37.390334983866, -121.993593055681 37.390354983916, -121.993812055065 37.390416983895, -121.995575056303 37.39091298474, -121.995889056122 37.390969983931, -121.996025055666 37.391001985022, -121.996477055578 37.391155984331, -121.997264055225 37.391369984105, -121.997794055853 37.391508983924, -121.99835405572 37.391654984309, -121.998883057421 37.391844984082, -122.000006056629 37.392224983609, -122.002572056509 37.393009983557, -122.003763056387 37.393344984233, -122.005093057081 37.393684983558, -122.007163057566 37.394264983339, -122.008653058992 37.394654982896, -122.008687057531 37.394661983439, -122.008808057905 37.394685983969, -122.008903059238 37.394704983699, -122.009663058222 37.394864983189, -122.01261305914 37.395514983495, -122.012783058121 37.395554983681, -122.01281805918 37.395562982573, -122.012863059385 37.395574983052, -122.012926058236 37.395586983529, -122.012963058944 37.395594983132, -122.015479058596 37.396143982664, -122.015573059205 37.396164983159, -122.017103059017 37.396484983415, -122.017413060435 37.39654498291, -122.017663059782 37.39660498307, -122.018493059986 37.396794983141, -122.022613060866 37.397707983177, -122.022989060609 37.397790982824, -122.024120061111 37.398040982467, -122.02449706068 37.398124983, -122.024723061534 37.398174983629, -122.025313061538 37.398284982326, -122.027723061782 37.39882498306, -122.027753061021 37.398832983032, -122.027843062331 37.39885698294, -122.02787306157 37.398864982907, -122.028073061587 37.39890698308, -122.028673061636 37.399034983088, -122.028873061653 37.399077982267, -122.029009062095 37.399106982595, -122.029417061626 37.399193982086, -122.029554062792 37.399222983083, -122.029659062374 37.399244981814, -122.029974062018 37.399311982062, -122.030079062498 37.399334982005, -122.030749061071 37.399476982183, -122.030887062062 37.399506982879, -122.030973063174 37.399524982292, -122.032756061808 37.399926982806, -122.033425062353 37.400077982928, -122.033874063688 37.400178982774, -122.034923063276 37.400414983007, -122.035222063027 37.400477982311, -122.035673064012 37.400574981726, -122.035719062246 37.40058298151, -122.035783063617 37.400594982612, -122.035857063236 37.400612982477, -122.035903063267 37.400624982861, -122.035771063023 37.400677981915, -122.035583062702 37.400754983087, -122.03546306395 37.400804982675, -122.03538006321 37.400843982388, -122.035253062989 37.400904981751, -122.035033063779 37.400974982737, -122.034790062308 37.401064982278, -122.034443062877 37.401194982455, -122.033943062386 37.40136498306, -122.033398063487 37.401538983119, -122.033223062686 37.401594983012, -122.03292906206 37.401680982688, -122.032543062271 37.401794982489, -122.032533063123 37.401796982046, -122.031333063024 37.402102982825, -122.030933062093 37.402204982569, -122.030833062534 37.4022349836, -122.030769062061 37.402249983041, -122.03038306317 37.402344982761, -122.03027606304 37.402371982997, -122.030164061989 37.402401982535, -122.030113061935 37.402414983115, -122.029433062418 37.402568982524, -122.029363062098 37.402584983093, -122.028133061861 37.402894982563, -122.027404061042 37.403070982161, -122.027143061824 37.403134982561, -122.0267230617 37.403214983341, -122.026593062003 37.403234982809, -122.026443061317 37.403264982715, -122.026103061558 37.403334982924, -122.02579606231 37.403383983174, -122.023463062059 37.40376498318, -122.023007061949 37.403842983072, -122.022883062101 37.403864982587, -122.022563061535 37.403934983663, -122.022093061182 37.404064983142, -122.021793061606 37.404134984031, -122.021771061865 37.404138983733, -122.020804060496 37.40435298426, -122.020482061179 37.404424983652, -122.020213060667 37.40448498464, -122.018965059989 37.404766984283, -122.014418061109 37.40579998416, -122.012903060467 37.406144984098, -122.012252061262 37.406293984384, -122.010302060427 37.406742985031, -122.009863059137 37.406844984168, -122.009753059532 37.406874985482, -122.009653059973 37.406894984687, -122.008946060692 37.407053984846, -122.008813060622 37.407084985071, -122.007323059197 37.40743498403, -122.006829058554 37.407540984599, -122.006386058863 37.407636985873, -122.006122059273 37.407693985903, -122.005872059027 37.407746985666, -122.00537305926 37.407854985189, -122.005123059913 37.407909984945, -122.004874059493 37.407965985071, -122.003920059441 37.408176984863, -122.003613058396 37.40824498538, -122.000013058996 37.409024984666, -121.999989058707 37.409025985775, -121.999364058543 37.409161985919, -121.99921305893 37.409193986378, -121.998803057953 37.409284985715, -121.998762057945 37.409289986248, -121.998723059384 37.409294985353, -121.998613058881 37.409324985687, -121.998491057784 37.409348985089, -121.998129059182 37.409423985846, -121.998008058808 37.409448986319, -121.997933058465 37.409464985419, -121.997603057854 37.409535985219, -121.996553059339 37.409764985392, -121.996390058234 37.409799986036, -121.99598705693 37.40988998568, -121.995948059267 37.40989798661, -121.99583305874 37.409923985168, -121.995795058207 37.409932986479, -121.994473058808 37.410224985823, -121.993843057723 37.4103649853, -121.993093058783 37.410534985792, -121.992353057195 37.410694985735, -121.991113056913 37.410954985983, -121.990509056665 37.411095986604, -121.989192057288 37.411404986887, -121.988869058147 37.411479987012, -121.988723057658 37.411514986142, -121.987909058247 37.411738986317, -121.987590057506 37.411826986483, -121.987453056341 37.41186498581, -121.987440055922 37.411868986526, -121.986998056954 37.412014987205, -121.986975057388 37.412022987195, -121.986851057539 37.412063986773, -121.986851056641 37.411958987252, -121.986850057715 37.411854985801, -121.986849056991 37.411787986779, -121.986847056443 37.411269986899, -121.986845057692 37.410999986908, -121.986845056793 37.410959986404, -121.986845056793 37.410684986997, -121.986840056771 37.409829986167, -121.986839056047 37.409415986292, -121.98679405674 37.408603986811, -121.986762056953 37.408464986586, -121.986751055285 37.407269987161, -121.986744055613 37.406415985605, -121.986738055765 37.405813986017, -121.986732055019 37.405129987044, -121.986718055673 37.40464098641, -121.986753056732 37.404568985085, -121.986787057067 37.40439898604, -121.986891056824 37.404033986663, -121.987004055904 37.403644986427, -121.987021056521 37.403585986662, -121.987049057008 37.403453986126, -121.987076055874 37.403326986288, -121.987124055554 37.402947986435, -121.9871300563 37.402821986217, -121.987121056978 37.402244985607, -121.987088055569 37.399907985827, -121.987070055128 37.3986019862, -121.987065056003 37.398195984982, -121.987055055059 37.397387984574, -121.987054054336 37.397349985756, -121.987052055584 37.397238985847, -121.987052055584 37.397201985365, -121.987050055934 37.397062984684, -121.98704405429 37.396646985223, -121.987043054465 37.396508984789, -121.987041055714 37.396364985709, -121.987036053894 37.395934984383, -121.987036055691 37.395931984813, -121.987035054968 37.395791985487, -121.987032055493 37.395303985871, -121.987023055272 37.393841984145, -121.987020054899 37.393354984571, -121.987014054153 37.392463985045, -121.986997054434 37.389790985017, -121.986992054412 37.388899984526, -121.986991054587 37.388809984652, -121.986990054762 37.388682984265, -121.986989054038 37.388541984291)))",Lakewood,0.2,65898,137064,0.088,0.218,0.108,0.178,0.021,0.313
"MULTIPOLYGON (((-122.032923054127 37.31560497562, -122.03280305268 37.315584975649, -122.032675053532 37.315573974733, -122.032553053333 37.315564974957, -122.032413053591 37.315564974957, -122.032353053317 37.315564974243, -122.032353053317 37.31549797421, -122.032355052967 37.315298975617, -122.03235605369 37.31523297485, -122.032363054261 37.314594975408, -122.032353053317 37.313354975456, -122.032282053172 37.312386975765, -122.032282052273 37.312233975085, -122.032484053736 37.312246975575, -122.032440052457 37.31157097497, -122.032374053233 37.310694974378, -122.032361052814 37.310503974604, -122.032280053522 37.309297973713, -122.032273052951 37.309184974398, -122.032274051877 37.308245974329, -122.032271052403 37.307810973679, -122.032267053103 37.306804975108, -122.03226805203 37.306505973776, -122.032270052578 37.306070975206, -122.03226805203 37.305767973867, -122.032265051657 37.304861974312, -122.03226405273 37.304559973463, -122.032263052007 37.304407974366, -122.03226205308 37.303951974516, -122.032262051284 37.30379997419, -122.032260050735 37.303642973841, -122.032257052159 37.303174973391, -122.032257051261 37.303018974261, -122.032266051481 37.302462974454, -122.03226405273 37.302293973782, -122.03248405194 37.302246974737, -122.032483051216 37.301946973465, -122.032483052115 37.301719974325, -122.032470052594 37.301525974133, -122.032262050385 37.3011879732, -122.032263051108 37.300995974594, -122.032263051108 37.300962974013, -122.032263051108 37.300865974433, -122.032263052007 37.30083397349, -122.032263052007 37.300763973391, -122.032263052905 37.300613974591, -122.032263051108 37.300555974242, -122.032264050933 37.300486974297, -122.032269050956 37.300069973472, -122.032260051634 37.299799973355, -122.032264050933 37.29951297359, -122.032264051832 37.29948897406, -122.032265052555 37.298870974068, -122.032264050933 37.298363973137, -122.032277050454 37.29831197371, -122.032319051185 37.298159974133, -122.032351050972 37.298047973533, -122.032437052084 37.297847974039, -122.032483052115 37.297646972846, -122.032413050896 37.297461973382, -122.032269050058 37.297089972885, -122.032269050956 37.296127973869, -122.032272051329 37.296022973557, -122.032272051329 37.29561197301, -122.032274050081 37.295080973474, -122.032278050279 37.294947973775, -122.032279051002 37.294379973395, -122.032280049929 37.294145973657, -122.032277051352 37.293969972947, -122.032382050036 37.293954973298, -122.032419051642 37.293941972503, -122.032633051903 37.293874973927, -122.032847051265 37.29386897306, -122.032993051753 37.293864973911, -122.033563050767 37.293854972463, -122.03427305132 37.293834973138, -122.03434305164 37.293804972354, -122.034483050484 37.293746972471, -122.034982051149 37.293787973095, -122.035173050046 37.293804972354, -122.035813051177 37.2937849723, -122.036283051531 37.293744972893, -122.036781052371 37.2936819733, -122.037375052573 37.293605973517, -122.037543051006 37.293584972191, -122.037723050931 37.293574972136, -122.038423051438 37.293594972959, -122.039169051078 37.293659973634, -122.039333051109 37.293674973342, -122.039513052831 37.29369497271, -122.03961305239 37.293724972109, -122.039733052939 37.293794973042, -122.039742052261 37.293801972275, -122.039801052711 37.293798972195, -122.039925051661 37.293792972751, -122.039981051738 37.293787973095, -122.040041052012 37.293782972009, -122.040055051358 37.29380897365, -122.040098051015 37.293887971874, -122.040113051084 37.293914973266, -122.040293052806 37.294234972925, -122.040433051649 37.29451497294, -122.040713052032 37.295074973417, -122.041123052111 37.295994972449, -122.041297053086 37.29636597289, -122.041588052441 37.29698297228, -122.04160305251 37.297014972717, -122.041698052046 37.297241973195, -122.042024052459 37.298023972822, -122.042133052239 37.298284973182, -122.042198052536 37.298441972568, -122.04239305253 37.298915973638, -122.042458052827 37.299073972855, -122.042472053071 37.299107972552, -122.042515053627 37.299211973844, -122.042530051899 37.299246973195, -122.042533052272 37.29925497235, -122.042683052958 37.299593972392, -122.042732052464 37.299704973838, -122.043073052946 37.300474972902, -122.043142052543 37.300635972223, -122.043293053952 37.300984972973, -122.043337052536 37.301087972692, -122.043471054227 37.301396973147, -122.043516052636 37.301499973016, -122.043524053032 37.301518972762, -122.043550052972 37.301578973882, -122.043559053193 37.301598972577, -122.043631053163 37.301765974018, -122.043849054519 37.302266973255, -122.043922054314 37.3024349736, -122.044342054439 37.303402973516, -122.045602053914 37.306309973825, -122.046022054038 37.307278973486, -122.04645705513 37.308281974073, -122.047313055273 37.31025497433, -122.047784055451 37.311282972701, -122.047813054865 37.311344973715, -122.048220055469 37.312286974431, -122.048293055264 37.312454973824, -122.048313054457 37.312487973648, -122.048323056299 37.312504972967, -122.04849305528 37.312934973082, -122.048573055646 37.313101972924, -122.048669055007 37.313302974248, -122.048843055085 37.313664973611, -122.048876056493 37.313747974078, -122.048973056578 37.313984973546, -122.049193054889 37.314524974544, -122.049452056254 37.315105973526, -122.049653056993 37.315554974253, -122.049265055758 37.315554973538, -122.048101055643 37.315554973538, -122.047713056204 37.315554973538, -122.047549055274 37.315556973965, -122.047057054281 37.315562973816, -122.046893055148 37.315564974243, -122.046709055923 37.315564974243, -122.046633055755 37.315564973529, -122.046157055554 37.315564974243, -122.045973055431 37.315564974243, -122.045571055748 37.315564974957, -122.04436405418 37.315564973529, -122.04396305522 37.315564973529, -122.043163054256 37.315564974243, -122.041513053895 37.315574974947, -122.041453054518 37.315574974947, -122.041373055051 37.315574974232, -122.041090054295 37.315574974232, -122.040703054681 37.315574974232, -122.040023054265 37.31558497422, -122.040004054897 37.315584974934, -122.039642054499 37.31558997457, -122.039558054833 37.315589973856, -122.03930605404 37.315592974495, -122.039223054199 37.315594974921, -122.039057054518 37.315594974206, -122.038559054576 37.315594974921, -122.038393054894 37.315594974921, -122.038221054467 37.315594974206, -122.037943054632 37.315594974206, -122.037705054083 37.315594974921, -122.037533053655 37.315594974206, -122.037437053396 37.315594975635, -122.037149053516 37.315594974206, -122.037053054155 37.315594974921, -122.036855054686 37.315594974206, -122.036261054484 37.315594974921, -122.036063054118 37.315594975635, -122.035861054451 37.315594974206, -122.035255052757 37.315594974921, -122.035053053091 37.315594974921, -122.034834052808 37.315594974206, -122.034181053953 37.315594974206, -122.033963052596 37.315594974921, -122.033640054353 37.315594974206, -122.032993053549 37.315594974921, -122.032923054127 37.31560497562)))",Cupertino - Southside,0.143,83151,190256,0.033,0.183,0.055,0.073,0.003,0.343
"MULTIPOLYGON (((-121.575912948912 37.013584980943, -121.576150949461 37.013515979686, -121.576192950193 37.013504980623, -121.576672949693 37.013374979387, -121.576870950958 37.013328980341, -121.577112949909 37.013274979056, -121.577202951219 37.013254980696, -121.577362950155 37.013244980797, -121.577463950437 37.013244980797, -121.577542949181 37.013244979362, -121.577962950204 37.013294980281, -121.578392949476 37.013354980335, -121.578519949698 37.013355979535, -121.578874949525 37.013361979753, -121.579059949473 37.013363979586, -121.579616949865 37.013371980354, -121.579802951434 37.013374980104, -121.579905951366 37.01337598002, -121.580215950988 37.013381980237, -121.580319949847 37.01338398007, -121.580491951172 37.013386979819, -121.58089295103 37.01339497915, -121.581009951206 37.013394979867, -121.58118295056 37.013394979867, -121.581282950119 37.0133969797, -121.581582951492 37.013401979281, -121.581682951051 37.01340497903, -121.582682951134 37.013414979625, -121.583642951932 37.013424978785, -121.584262950276 37.013426979334, -121.585682951382 37.013431978913, -121.586292952375 37.013434978661, -121.586682950566 37.013454979126, -121.586992951086 37.013474978868, -121.587652952308 37.013524979635, -121.587668952202 37.013524979635, -121.590634952115 37.013555979851, -121.591623951428 37.013566978906, -121.592059953243 37.013570979279, -121.592432952614 37.013574978218, -121.593366951676 37.013519978628, -121.59380295349 37.013494979322, -121.594002953507 37.013484979454, -121.594509951874 37.013484978737, -121.595752952529 37.013484978737, -121.596382952716 37.01348497802, -121.596631953136 37.013482978907, -121.597339952242 37.013477978614, -121.597802952025 37.013474978868, -121.598332952652 37.013444978535, -121.598782953813 37.013404978312, -121.599152953708 37.013354978183, -121.599187953868 37.01334497758, -121.59946295333 37.013274978339, -121.599632953209 37.013214978221, -121.599622954062 37.013284978234, -121.599622954062 37.01333497841, -121.59960295397 37.013469977857, -121.599512953558 37.014114978602, -121.599504954061 37.014234978086, -121.599487952546 37.014491978407, -121.599462954228 37.014874978593, -121.599438953939 37.015150979026, -121.599422953147 37.015354979201, -121.599362952872 37.015904978681, -121.599252954166 37.017126979004, -121.599222954029 37.017464978554, -121.599182953846 37.017784979148, -121.599116953723 37.018337979243, -121.599042953205 37.018964979511, -121.598930954849 37.020000979082, -121.598892954316 37.020364978505, -121.598862954178 37.020554979367, -121.59886295328 37.020614979428, -121.598860954529 37.020626979434, -121.598852953234 37.020694978717, -121.598833954764 37.020842979225, -121.598824953645 37.020914979019, -121.598801954977 37.021086978967, -121.598735953957 37.021605979487, -121.598714954939 37.021778979111, -121.598712953492 37.021794979591, -121.598652954116 37.02291497901, -121.598638955669 37.023029979994, -121.59852295442 37.024034979847, -121.598442954054 37.024634978805, -121.598272955073 37.026444979834, -121.598233954715 37.026768979579, -121.598112954341 37.02780497959, -121.59809295425 37.028014979992, -121.598080954554 37.028150979615, -121.598047954942 37.028557979458, -121.598036955071 37.028694979975, -121.597982954645 37.029354980464, -121.597872955938 37.030464980511, -121.597772954582 37.031384979562, -121.597662955876 37.03232497946, -121.597692956013 37.032534980273, -121.597622954795 37.03304498024, -121.597472955905 37.034134980823, -121.597431956795 37.035082980302, -121.597427955699 37.035168980061, -121.597415956004 37.035427981248, -121.597412954732 37.035514980959, -121.597012955598 37.035574980677, -121.596017956436 37.035774980588, -121.595566955451 37.035866980156, -121.595182955311 37.035944980637, -121.593772954252 37.036264981551, -121.591862954498 37.036664981516, -121.591854955 37.036665981843, -121.59046495493 37.036950981317, -121.590223954906 37.03699998137, -121.590152954761 37.03701498119, -121.589505954855 37.037158980887, -121.589266954481 37.037212981688, -121.589212954952 37.037224981224, -121.588919954151 37.037286981663, -121.587880955507 37.037509980751, -121.587534955002 37.037584981468, -121.586939954077 37.037711981212, -121.585342954318 37.03805498107, -121.585154953099 37.038097982147, -121.584562954343 37.03823498123, -121.58443295285 37.037984981649, -121.584332953291 37.037785981417, -121.58402295367 37.037164982093, -121.583752954231 37.036664981516, -121.583643952655 37.036441982097, -121.58342295362 37.035989981429, -121.58330295397 37.03574498189, -121.582979953929 37.035141981448, -121.58292295313 37.035034981511, -121.582582953371 37.034344981651, -121.582478953614 37.034152982289, -121.582392952502 37.03399498186, -121.581922953047 37.033084982315, -121.581672952802 37.032588981495, -121.58124295353 37.031734981341, -121.580892952827 37.03103498119, -121.580102951908 37.029534981166, -121.579932952927 37.029203981637, -121.5798829518 37.029104981051, -121.579645951974 37.028630981696, -121.579482952665 37.02830498113, -121.579432952437 37.028208981405, -121.579263952382 37.027879982003, -121.579107951848 37.027576980606, -121.57873295193 37.02684498132, -121.578635951845 37.026670982015, -121.578469952164 37.026373982158, -121.578463952316 37.026363980399, -121.578447952423 37.026333980852, -121.5784429524 37.026324981703, -121.578356952186 37.026166981484, -121.578098950647 37.025692981007, -121.578012951331 37.025534981625, -121.577870951939 37.025247980667, -121.57744495017 37.024389980645, -121.577302950778 37.024104982085, -121.577087951592 37.023695981055, -121.576446949737 37.022472981152, -121.576232950375 37.022064981179, -121.576002950222 37.021634981093, -121.575946951044 37.021524981347, -121.575122950688 37.019894981315, -121.575120951038 37.019891981105, -121.574892949636 37.019474981655, -121.574862949499 37.019404980889, -121.57483295026 37.019354980404, -121.574642949391 37.018994980534, -121.57462994987 37.018969981595, -121.574252950302 37.018184981045, -121.574062951229 37.017794980602, -121.573872949462 37.017404981027, -121.573739950291 37.017127980306, -121.573622950115 37.016884979913, -121.573599950548 37.016841980454, -121.572717949568 37.015185980301, -121.572472949346 37.014724979574, -121.572422950015 37.014634980021, -121.57263994975 37.014566980335, -121.573162949807 37.014404981156, -121.573292948605 37.014366979811, -121.573512949612 37.014304980747, -121.573745950138 37.014234980956, -121.574447949397 37.014023979853, -121.574682950472 37.013954981146, -121.574927948898 37.013878980139, -121.575302950613 37.013764980995, -121.575665950836 37.013656979724, -121.575912948912 37.013584980943)))",Gilroy - North Central,0.384,35680,104668,0.212,0.17,0.174,0.287,0.083,0.448
